Time,Msg
04.16.02.073350,DISII3
04.16.02.083323,08N18F
04.16.02.083323,YNUQVV
04.16.02.084320,PCNJXQ
04.16.02.085317,JFIDNJ
04.16.02.085317,PUPPKU
04.16.02.089306,K31TFK
04.16.02.090304,81FFWO
04.16.02.090304,P9X1TY
04.16.02.091300,WBX78T
04.16.02.091300,00WJT5
04.16.02.091300,QZ70LQ
04.16.02.092299,LCQK8S
04.16.02.092299,AKQ0VK
04.16.02.093296,TW9WDK
04.16.02.093296,ITUW5X
04.16.02.093296,17DQRY
04.16.02.094293,VD94HX
04.16.02.094293,IBN6ZV
04.16.02.094293,NIF7C2
04.16.02.095291,1Z6ZA4
04.16.02.095291,560CUH
04.16.02.096288,CTHJRR
04.16.02.096288,QYICUC
04.16.02.096288,93YJD7
04.16.02.097285,S0YGFV
04.16.02.097285,E0E9VS
04.16.02.098283,O3QN4E
04.16.02.098283,R2BMB9
04.16.02.098283,F4AQW4
04.16.02.099280,U4UN9Z
04.16.02.099280,3WXUX3
04.16.02.100277,FDF3NT
04.16.02.100277,OEX6WJ
04.16.02.100277,15U6KQ
04.16.02.101275,QSVQP1
04.16.02.104266,N5DTC9
04.16.02.105264,5EN9EA
04.16.02.105264,Y6O3KS
04.16.02.106261,NKZBFJ
04.16.02.106261,YTG829
04.16.02.107259,M8JWX9
04.16.02.107259,XO0OZD
04.16.02.108256,V209TX
04.16.02.108256,5RGOLB
04.16.02.108256,DKX17V
04.16.02.109254,EX2MUI
04.16.02.109254,MZOTV4
04.16.02.110251,B6WMKF
04.16.02.110251,BF9KK4
04.16.02.110251,end
